               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.055015,            0.055256,             0.01932,             0.52596,             0.40162,             0.41364,             0.23439,            0.049379,            0.062947,            0.023238,            0.070074,           0.0033251,           0.0033251
                   1,             0.05573,            0.054562,            0.018919,             0.49827,             0.40242,              0.4036,             0.22419,            0.050463,            0.063718,            0.023294,            0.039988,           0.0065728,           0.0065728
                   2,            0.057947,            0.056333,            0.019773,             0.47339,             0.38067,             0.38565,              0.2076,            0.052189,            0.065875,            0.023487,           0.0098171,           0.0097348,           0.0097348
                   3,            0.058728,            0.057795,            0.020899,             0.46792,             0.38483,             0.38157,             0.20961,             0.05134,            0.064704,            0.024165,           0.0096143,           0.0096143,           0.0096143
                   4,            0.058278,            0.057974,             0.02081,             0.49824,             0.38516,             0.39026,             0.21216,            0.051903,            0.064479,            0.022786,           0.0096143,           0.0096143,           0.0096143
                   5,            0.057999,            0.056878,            0.020698,             0.47849,             0.38574,             0.38785,             0.21325,             0.05089,            0.064135,            0.023135,           0.0094857,           0.0094857,           0.0094857
                   6,            0.057482,            0.056502,            0.020572,             0.46364,             0.38466,             0.38055,             0.20055,            0.051614,            0.064319,             0.02366,           0.0093571,           0.0093571,           0.0093571
                   7,            0.057466,            0.056173,            0.020211,             0.48318,             0.38452,             0.38552,             0.21367,            0.050927,            0.064351,            0.023469,           0.0092286,           0.0092286,           0.0092286
                   8,            0.056978,            0.055975,            0.020096,             0.47711,             0.39468,             0.39443,             0.21619,            0.051254,            0.064107,            0.023297,              0.0091,              0.0091,              0.0091
                   9,            0.057103,            0.055715,            0.020226,             0.47935,             0.38476,             0.38634,              0.2133,            0.050933,            0.064034,            0.022755,           0.0089714,           0.0089714,           0.0089714
                  10,            0.057133,            0.056915,            0.020029,             0.49051,              0.3937,              0.4014,             0.22158,            0.050439,            0.063893,            0.022812,           0.0088429,           0.0088429,           0.0088429
                  11,            0.056779,            0.056512,            0.019858,             0.50253,             0.38231,             0.39345,             0.21437,            0.050422,            0.063839,            0.022809,           0.0087143,           0.0087143,           0.0087143
                  12,            0.056682,            0.055796,            0.019973,             0.50351,             0.39676,             0.40109,             0.22234,            0.050445,             0.06379,            0.022523,           0.0085857,           0.0085857,           0.0085857
                  13,            0.056391,            0.055911,            0.019816,             0.48161,             0.39796,             0.39506,             0.21932,             0.05021,            0.063663,            0.023043,           0.0084571,           0.0084571,           0.0084571
                  14,            0.056183,            0.055471,              0.0195,             0.49644,             0.40693,             0.40743,             0.22494,             0.05032,            0.063346,            0.022602,           0.0083286,           0.0083286,           0.0083286
                  15,            0.056268,             0.05571,            0.019674,             0.49873,             0.40686,             0.40523,             0.22696,            0.050116,             0.06352,            0.022777,              0.0082,              0.0082,              0.0082
                  16,            0.056376,            0.056967,            0.019509,             0.50049,             0.39994,             0.40441,             0.22208,            0.049985,            0.063447,            0.022644,           0.0080714,           0.0080714,           0.0080714
                  17,            0.055788,            0.055501,            0.019205,             0.48985,             0.39771,             0.40271,              0.2248,             0.05006,            0.063745,            0.022728,           0.0079429,           0.0079429,           0.0079429
                  18,            0.055934,            0.055292,            0.019493,             0.48825,             0.39898,             0.39921,             0.22215,            0.049785,            0.063422,            0.022854,           0.0078143,           0.0078143,           0.0078143
                  19,            0.055903,            0.055373,            0.019306,             0.49472,             0.40686,             0.40727,             0.22708,            0.049566,            0.063254,            0.022787,           0.0076857,           0.0076857,           0.0076857
                  20,            0.055098,            0.054458,            0.018963,             0.48932,             0.40539,             0.40654,              0.2295,            0.049641,            0.063213,            0.022961,           0.0075571,           0.0075571,           0.0075571
                  21,            0.055431,            0.054785,            0.019092,              0.4947,             0.40253,             0.40755,             0.22918,            0.049546,              0.0636,            0.022763,           0.0074286,           0.0074286,           0.0074286
